condition,review_body,rating,sentiment
Birth Control,love no period noth great worri thing three year first insert feel littl sick pass day would recommend form birth control anyon ask love,10.0,Positive
Depression,love prescrib month work great make feel happier also improv sleep,10.0,Positive
Birth Control,first start research mirena dr suggest suck take pill everyday terribl pain heavi period no sexual desir read everyth onlin nervous insert almost back last minut get pain cramp next unbear miss next day school work much pain th day pain cramp final start subsid bled month noth simpl panti liner take care alway light spot glad kept almost year later love would recommend anyon,9.0,Positive
Weight Loss,went five day zero side effect efficaci got slight continu nausea first day zero appetit sinc zero littl appetit no side effect find eat necess zero crave excel portion control result weight fall titrat unless feel effect wane wast medicin money note sure get save card print one line insur requir pa cost coupon knock,10.0,Positive
Irritable Bowel Syndrome,diarrhea hour stomach gurgl day urg go noth feel like gas brew noth may take tomorrow know bowel movement everi day citcrel still urg go doctor think not empti say realli like med,2.0,Negative
Birth Control,not recommend birth control take almost week bodi feel complet differ pill made nauseous bloat moodi tire also made period closer togeth cramp pain definit go,1.0,Negative
Hyperhidrosis,sincer recommend product individu suffer hyperhydrosi throughout childhood suffer excess sweat scalp underarm felt public victim condit not alon warn first time user would recommend use regular mild aluminum chlorid formula initi initi util extra strong formula contain aluminum chlorid first night applic genuin felt excruci pain ever experienc entir life start less concentr formula start appli small amount initi gradual increas amount appli trust,10.0,Positive
Obesity,absolut thrill result far take qsymia day lost pound also follow calori diet get moder exercis time week minut time know medic assist stay within daili calori intak side effect begin dissip includ lethargi difficulti concentr start lbs pound go,9.0,Positive
Bacterial Infection,pill per day everi hour day realli bad gum abcess day right huge differ almost gone small throat hurt incred bad feel like strep head ach day well pretti bad vertigo tri push rest get rid abcess flu like symptom besid nausea work lot better tri penicillin pay side effect,6.0,Neutral
Birth Control,right get nexplanon would lose sleep read review year long travel trip doctor told would best option read horrifi review vow good experi would come back share sinc usual unhappi custom like write review think realli depend bodi far two month zero side effect except fact took away period complet exact need prais god grate,10.0,Positive
Depression,suffer anxieti depress sinc sinc take st john wort use karma maximum dose day pill order direct onlin felt signific improv mood much calmer lose temper quick feel mood much stabl continu drink alcohol depress yet still feel benefit take month miss day felt benefit within week side effect initi lost appetit itchi skin headach cyclic sore breast wors libido mood improv still get anxious much milder main feel calmer quieter clearer head work,9.0,Positive
Osteoarthritis,use pain patch sever year alway effect howev sinc new patch came not happi still effect reliev pain not stick past easili fall never problem patch,8.0,Positive
Bipolar Disorde,kind depress disord never diagnosi done rumin lot also suffer manic episod month ago serv make feel trap hopeless ever start latuda week ago mg psych confid medic three week treatment began feel way less depress social get stuck thought wonder unfortun last day depress came back continu work doctor increas dosag right taper feel miser incapacit entir life horribl feel like know voic head relentless medic made wors psych high hope sleep well want stick see higher would work decid depress experienc much intens push go see asap holiday ask put lactim mayb work not nich give two experienc no side effect asid insomnia seroquel took care,2.0,Negative
Anxiety,not better drug xanax anxieti love thank drug simpl thing like go kid school go panic attack,10.0,Positive
Postmenopausal Symptoms,tri climara pro patch never stay day,1.0,Negative
Overactive Bladde,recent start take vesicar first mg liter could not poop would go day without poop sever heartburn doctor lower mg help bit urin notic situat stress seem work well relax perfect fine also mg still constip poop everi day still bad heartburn everi week not sure want stick medic not not bad heartburn,9.0,Positive
Pain,methadon drug help horrif lower back pain everyth fentanyl patch enough oxi wipe small villag methadon combin perk best combin past year thank pain manag doctor,10.0,Positive
Bacterial Infection,upset stomach use bactrim not problem one month use final clear sinus inner ear nasal infect linger month high recommend medicin also use rifampin,8.0,Positive
Nausea/Vomiting,test posit stomach flu phenergan touch nausea,1.0,Negative
Anxiety,mani mani year anxieti drive car sit church servic torment drug help focus function peopl abus godsend peopl real issu not everyon drug addict need xanax femal life limit sinc trauma childhood post traumat stress disord anxieti sever limit,10.0,Positive
Bacterial Skin Infection,prescrib bactrim twice day day first day ok nd day bad case nausea itchi rd day nausea fatigu flu like symptom feel cold along insomnia stop take gradual feel continu keflex infect heal take not worth miseri opinion,2.0,Negative
Anxiety,stuff help one month saw improv make outlook posit remov palpit fear,8.0,Positive
Back Pain,back pain nerv base realli help even strong pain killer work better properti work nerv also not dose year,9.0,Positive
Birth Control,doctor prescrib ocella last year rememb made feel horribl not exact reason vagina alway dri no matter excit sex horribl notic sex sex regular libido realli low think much estrogen overal day feel sick period light spot guess benefit come week long period,2.0,Negative
Bowel Preparation,hard rate medicin good thing take get diarrhea overal far less nasti experi expect yes tast bad yes hard consum much fluid short period time half bad expect within minut start effect done within hour littl nausea wave no cramp abdomin pain took st dose went bed comfort got second dose almost downsid laxat effect pretti much clear liquid come procedur dread prep much get nauseat easili turn fast worst part,9.0,Positive
High Blood Pressure,feel better general howev time feel aw bp test one time lower without med still high howev without med feel aw time side effect includ leg cramp calf twitch excess urin cramp semi reliev stay hydrat tired dizzi stop first coupl day lowest dose suspect doctor increas bit,8.0,Positive
Insomnia,put mg ambien troubl sleep breakdown made mistak one night take answer phone phone hour oh man cupboard move hen strang peopl walk stair hous strang thing thought funni fell twice break littl coffe tabl luckili partner help stair put bed take mg hour bed realli relax make forget problem troubl sleep anymor odd night,8.0,Positive
Acne,alway bad acn tri mani thing second time use retin patient enough first time time want see would work initi breakout horribl develop rash arm use month skin super smooth still get pimpl not stick time instead whole face break terribl blemish medic slowli fade mark feel littl better wake everi morn fear mirror show,8.0,Positive
Depression,hi prescrib generic wellbutrin xl back mid august diagnos adhd anxieti depress depress realli work ti get board someth use skip day could tell adhd part feel like help littl got terribl grade high school like homework freshman colleg straight feel medicin help stay focus academ goal set late unmotiv check doctor want know want tri someth els said yes prescrib escitalopram would recommend wellbutrin help,8.0,Positive
Bipolar Disorde,like best medicin made sleep perfect no troubl fall asleep no wake night slept full hour felt complet refresh readi go woke morn dosag mg instead put gentl sleep gave wave paralysi whole bodi hyster cri daddi hallucin immedi instruct stop take take mood anymor take smallest dosag help sleep,4.0,Negative
Birth Control,got nexplanon wks post partum august love no period no weight gain no mood swing back normal pre pregnanc weight best thing still abl breastfe no negat side affect definit get decid not anoth babi,10.0,Positive
Allergic Rhinitis,cough allergi almost year prescrib oral medic flonas no effect itchi throat prescrib azelastin immedi use throat stop itch cough torment long time gone unbeliev wonder realli bad tast gage care next time tri lean forward use,10.0,Positive
Birth Control,got first implanon may stick arm week pain bruis check day came week later doctor surpris find bandag still devic still stick tell would heal went use ador excus thin remov order new one no charg second one june plant correct watch eye usn mother fianc two week devic bleed start mood swing noth unmanag bleed went continu month two day break august anoth two day break later octob new ob gyn satisfi bc,8.0,Positive
Psoriasis,went dermatologist psoriasi hand elbow finger toe gave laclot clobetasol foam not work use week went differ doctor gave taclonex even though greasi put not like clobetasol foam dri right away taclonex got rid psoriasi day realli amaz,10.0,Positive
Migraine Prevention,neurologist start mg elavil within coupl week began take mg took month take effect headach almost everi singl day noth yes effect side effect notic increas appetit much weight gain gain pound within month elavil normal problem honest ad pound worth pain free wed month noth besid go medic would stop weight gain take topamax job side effect way drastic elavil,9.0,Positive
Birth Control,tri mani birth control pill one felt normal although stop get period doctor say normal no side effect,10.0,Positive
Migraine,year medic doctor refus refil prescript due addict side effect medic work well state mani work fast allow function sleep migrain never rebound headach crave singl migrain not respond medic control manag dose mani year never experienc need need use anyth debilit migrain never experienc negat reaction way use medicin respons supervis physician said use fiorin sinc,10.0,Positive
Pain,long term ultram user mayb year osteoarthr feel like take medicin get rid headach runni nose get not take tri stop take mayb switch arthriti strength tylenol least headach runni nose think address pain well year ago not work still arthriti pain,5.0,Neutral
Bowel Preparation,drank first ounc finish drank first ounc water prep make gag vomit stomach hurt queasi got easier way prep th colonoscopi knew ahead wait sedat,8.0,Positive
Post Traumatic Stress Disorde,prazosin week start mg first week went mg still nightmar exhaust day also gain lbs sinc start frustrat side effect like dizzi,4.0,Negative
Dental Abscess,use treat dental abscess combin work better along amoxicillin flagyl alon might not good enough,6.0,Neutral
ibromyalgia,femal persist low mood one year final doctor prescrib milnacipran common treat depress live japan use one month fantast x mg dinner time know whether placebo effect not least help regul sleep wake morn enjoy thing easier avoid depress induc self blame thought side effect hot flash first sever day toler nausea weight loss observ either abl get exercis less bing direct caus milnacipran,8.0,Positive
Depression,paroxetin year sever chronic depress prozac rough year appear lose effect prescrib instead initi dose mg daili initi extrem effect anti depress went hospit week everi year safeti year without hospit blip mood everi year instead crash howev mg side effect dose appal chronic insomnia lb weight gain constant tired muscl ach migrain memori loss zero libido round apathi attempt drop dosag result uncontrol weep numb terror,9.0,Positive
Depression,diagnos chronic depress put mg use cri least day cymbalta last day not even cri caus nausea lost kgs not side effect motiv use medicin,10.0,Positive
Bacterial Infection,bad experi felt deep depress bad feel mind stop take everyth return normal think clavulan,1.0,Negative
Multiple Sclerosis,provigil get extrem headach get take lot water littl food stomach b multipl sclerosi year provigil last year fight fatigu lack focus associ ms even bonus side effect make happi peopl ms know depress also silent struggl never get acknowledg provigil make physic less worn make mental alert make emot better mood guess say enough good thing toler headach might get medicin worth,9.0,Positive
Hepatocellular Carcinoma,take nexavar sinc may tender hand feet dri skin energi level good,7.0,Neutral
Erectile Dysfunction,happi ciali,7.0,Neutral
Pain,suffer joint pain sever day walk suffer poli arthriti tri mani medic treat arthriti pain none work except tramadol high recommend chronic pain manag side effect mild also agre statement effect mood make feel calm happi drug lifesav allow continu function much higher level without,8.0,Positive
Pain,take percocet total knee replac surgeri great aid reliev pain take tablet everi hour begin howev need pain take tablet percocet amaz,9.0,Positive
Bronchitis,start take medicin today big hard swallow minut take first one asleep make feel drowsi rather weak hurt breath much tight chest signific improv took yoghurt someon previous suggest no metal tast mouth no run vomit,9.0,Positive
Multiple Myeloma,revlimid year result cancer low level control no side effect awar howev think medicin terribl expens,10.0,Positive
Arrhythmia,general weak tire muscl constip lapsus set beat straight age weight kg height took gms tablet month,8.0,Positive
Atrial Fibrillation,year old af year complet ablat surgeri no af year came back bout less two week put sotal week ago lightheaded stand no side effect work well no af mg follow anoth review one year,9.0,Positive
High Blood Pressure,cough chang toothpast bioten dri mouth toothpast tri see,10.0,Positive
High Blood Pressure,went thru thyroid storm year later still mgs propranolol per day no side effect like medicin hope never get toler take mg tablet xs day like better extend releas,9.0,Positive
Benign Prostatic Hyperplasia,urologist hesit put young age first two month rough decreas energi sex drive testosteron level actual sky rocket got muscular lost bodi fat sex drive went hyper drive hair regrowth minim bodi hair drastic decreas oh prostat shrunk drastic psa put floxmax work fulli evacu bladder bph caus bladder void incomplet caus uti took avodart mths stop mani medic fail,9.0,Positive
Herpes Zoste,recur shingl brought stress pain last week month wear cloth agoni zap energi feel lightn skin usual garnish fever blister nose left eye left ear outbreak year much emot take valtrex suppress no side effect recent stress event brought hide quick went treatment dose with day blister scab pain never realli got chanc crescendo day feel normal higher dose make bit cranki noth like live shingl feel like life back,10.0,Positive
Bronchitis,start first dose mg last night read advers side effect big mistak slept one hour fit feel extrem energet even hyper even feel tire face get red around face neck chest shoulder bright red pain feel like super sun burn call pharmacist told take benadryl immedi call doctor wait return call matter sinc plan take second dose realli power antibiot breath feel much better even one dose bad allerg reaction would recommend medicin,3.0,Negative
Surgical Prophylaxis,prescrib mg everi six hour wisdom teeth extract no issu increas vagin discharg definit take enough water usual meal zero complaint side effect not sure suppos day think sign infect,9.0,Positive
Birth Control,skyla insert experi not bad even feel go ask ob insert yet child took alev min time mayb help everyon differ someon els bad experi mean bad give tri like get remov,10.0,Positive
min),not resolv polycyst ovarian syndrom complet improv qualiti life treat subclin insulin resist metformin extend releas mg day,8.0,Positive
Insomnia,wors drug ever terribl groggi feel next day usual take ambien mg howev sinc manufactur chang north star desper seek someth els unfortun definit not answer next day feel like run train depress unabl accomplish anyth terribl stuff warn not resort garbag horribl go straight trash go back ambien tonit least w northstar u final go sleep wake refresh,1.0,Negative
Migraine,love medicin would alway worri next time go get headach work play son hate get one take imitrex minut later gone like never headach thing dont like pricey pay work well tri live without,10.0,Positive
GERD,thank zantac gerd attack minut mg percent improv thank much jon,10.0,Positive
Heart Failure,chang life feel chest pressur squeez short breath put tongu viola well high recommend medicin,10.0,Positive
Insomnia,feel frustrat develop toler seroquel noth els work sleep,10.0,Positive
Pain,wonder pain pill tore sacroiliac could bare walk pain high toler pain medic tri pretti much everyth one surpass everyth tri no side effect,10.0,Positive
Constipation,liter want kiss person invent linzess save life feel miser constip truli miracl drug take twice week certain price feel good thank billion time,10.0,Positive
"Gout, Acute",get gout sever time year play lot tenni seem get gout toe knee wrist tri take medicin earli possibl usual get relief within day mg time day get light head notic blood pressur goe point,8.0,Positive
Smoking Cessation,prescrib wellbutrin break depend prescript stimul abl break habit get head fog continu crave adderal psychiatrist said probabl low dopamin wellbutrin could increas brain dopamin level month mgs wellbutrin xl think clear no crave stimul thank god medic,10.0,Positive
Abnormal Uterine Bleeding,doctor offic set nurs practition discuss method reduc bleed everi month suggest depo shot felt would answer problem said well bleed assur happen got shot first day period look review done research most negat assum mayb peopl leav review peopl bad experi sinc day got shot bleed heavili like regular not spot nurs practition recommend shot would not admit shot make bleed continu week period count furious,1.0,Negative
Migraine Prevention,cannot recommend medic yes prevent migrain side effect far outweigh benefit doctor put gradual increas dosag unabl get past first week coupl day lost control thought focus everi negat mind could come work impact work account offic lost abil count rememb alphabet not mention would stop talk mid sentenc quit often knew need say mouth short term memori non exist decid stop take medic forgot drive way work place last year,2.0,Negative
Back Pain,sciatica bed week take lortab seem work well,4.0,Negative
Pain,chronic sever back pain injuri work fractur mess lower back pinch nerv physic therapi nerv block oxycontin mg x day vicodin break pain take hour neurontin mg time day paxil depress place pain level pain level except rain cold still unabl anyth pain increas activ despit medicin plus feel faint stand brain foggi poor memori hear common nois mistak someth els like sing talk,6.0,Neutral
Panic Disorde,one hand med prescrib year battl panic say drug no effect good bad panic continu today mg elavil work quit well best elavil ad bonus curb neuropathi forc fentanyl year,1.0,Negative
Smoking Cessation,tri chantix even though scare good day everyth left side bodi went numb smoke scare enough go cold turkey rest way,5.0,Neutral
"Onychomycosis, Toenail",year sporanox bad infect pain toenail grew odd part infect toenail minor medic condit year sporanox clear mani condit doctor said not possibl howev know connect heart arrhythmia gone non heal nose anal fissur gone facial scalp pubic psoriasi plus mucus membran inflamm gone treatment durat back year year later origin nail still clear differ nail infect peel scali skin across foot strang get wors back sporanox seem clear condit return problem also vanish restart sporanox,8.0,Positive
Birth Control,use lo loestrin fe almost month began use gave birth truli effect suffer spot period worri get pregnant doctor mention drink stop period period probabl take wrong normal spot littl last week pack,10.0,Positive
Bowel Preparation,manag get first dose keep fight urg throw nd dose keep took first sip prompt threw could keep anyth sick next hour cancel appoint reschedul follow month doctor gave differ product take hope better job,8.0,Positive
ibromyalgia,year old much tender pain fibromyalgia tell truth like take medic terribl pain decid go gabapentin doctor care awe feel much better especi morn also swim get light massag manag pain actual move neck without agoni doctor start higher dose normal pain take mg capsul daili day feel big differ actual energi mind not foggi hope pray medic continu give fantast result side effect,8.0,Positive
Migraine,migrain aura sinc puberti tri everi prescript migrain medic sinc no success class medic especi like frova take get aura long migrain pain hit,10.0,Positive
Birth Control,pill year love see side effect begin littl drop month take pill period gone good first thought someth bad happen ran doctor everyth fine first get use not bleed think actual love no worri thing think gain weight lbs year not sure pill eat candi junk food,9.0,Positive
Birth Control,apri month first time ever use bc much compar incred happi skin gradual get wors wors year tell last time tini blemish time skin amaz doctor warn initi side effect pretti bad honest high emot weight gain lbs gave month someth click stop emot lost weight even bit found much sex drive not worth switch reason will go first month go,8.0,Positive
Anxiety and Stress,prozac zyprexa month tell help wife think give time start take mg yesterday hope one major depress anxieti year antidepress fail report back week,5.0,Neutral
Birth Control,current nexplanon year not big fan like rememb take pill absolut hate prolong period period week straight stop day start back doctor said would take year bodi regul actual wors bc current period last almost month bad cramp whole point bc abl intim constant bleed plus caus short temper made sex drive go lot think remov tri someth els,4.0,Negative
Depression,take seroquel month mg recent up mg night time result abl drop ativian mg mg still get great sleep much product think clear feel posit feel like person come back coincid think not,8.0,Positive
Anxiety,help get life back,10.0,Positive
Depression,pristiq week tri everyth last year noth work tri pristiq guess normal person no depress sad anxieti sleep better dark cloud lift,10.0,Positive
Birth Control,nexplanon year absolut love super effect first got random period month no weight gain get crave time month month half ago period sinc first three sudden never end one period month half day day not thought consult doctor read review seem normal think get remov earli effect,8.0,Positive
Inflammatory Conditions,work hospit constant feet walk run hrs straight somehow injur foot start limp end shift went dr friday gave packet monday morn foot feel ton better swell almost gone complet no side effect no red face noth give work great,10.0,Positive
Generalized Anxiety Disorde,year old suffer anxieti panic disord year start take escitalopram mg three week ago along bromazepam mg three time day start work sinc day start gain confid back no panic attack three week doctor ask increas escitalopram mg stop bromazepam gradual,7.0,Neutral
Smoking Cessation,miracl quit year smoke actual easi,10.0,Positive
Pain,given inject er sciatica pain last minut pain back not much help,2.0,Negative
ADHD,daughter tri medicin adhd not like side effect like zombi vyvans notic major chang person focus better school much better grade love medicin still act like daughter not alien,10.0,Positive
Obsessive Compulsive Disorde,bad panic attack depress ocd point could not function eat sleep readi section self mental ward didnt feel safe doctor gave medic save life year complet stop panic attack depress sleep everi night hour weight gain bad depress pull got keep side affect soon fade worth end,10.0,Positive
Pain,take advil ibuprofen sinc headach bodi pain sometim take prescript medic maxalt treat migrain realli bad headach migrain sinc grade school took tylenol late start take regular tablet dose mg occas up dosag not doctor instruct mg mg dosag effect pain not subsid within minut,9.0,Positive
Weight Loss,prescrib phentermin adipex weight loss discuss doctor lack energi full time singl work mother time motiv realli issu contribut weight said would give motiv want exercis appetit suppress two thing true work desk job cannot exercis even hard day go day felt fantast full energi happi day sever negat side effect high blood pressur heart pound fatigu insomnia day dose cut half doctor today friday day lost pound sinc monday hope see loss slower,9.0,Positive
Birth Control,nexplanon sinc love major problem implant pros effect contracept worri take year con get ovarian cyst time time bothersom alway regress irregular period never know get period sometim month time not know might get period bother much keep tampon purs high recommend nexplanon get rd put next year time remov one,10.0,Positive
Obstructive Sleep Apnea/Hypopnea Syndrome,provigil given life back mg twice day result great quit teach went husband insur insur compani refus pay two time day doctor put nuvigil week alway tire move back provigil,10.0,Positive
Anxiety,clonidin outstand lower bp reduc anxieti linger ptsd murder mani year ago stroke one year ago caus high bp bp med work margin clonidin patch high effect mg bit much mg lower bp problem patch give bright red itch rash arm go pill see work well hope mg twice day work sinc clonidin hour half life shall see high recommend drug bp anxieti monitor bp not go low,10.0,Positive
Birth Control,love skyla glad got iud best birth control ever littl extra bleed insert absolut no pain side effect kind low mainten thing protect say insert uncomfort quick discomfort soon subsid month still get period day extrem light call paranoid like get period reassur heard mirena stop mayb skyla littl differ sinc lower dose hormon either way say enough much love skyla,10.0,Positive
Pain,take medicin first day pain feet almost disappear not felt good sinc use danc back year feet day job move faster without pain thank gabapentin life enjoy look forward take walk wife,10.0,Positive
Obesity,love xenic basic make scare eat rubbish oili poo side effect urgent need go make look food differ way see famili size chocol bar previous would eaten within minut see slab fat chang attitud toward food eat healthi food know unhealthi food look like come disgust unhealthi fat go bodi arteri around heart visual educ healthi eat lose weight thank xenic,10.0,Positive
Sinusitis,levaquin miracl prescript sinus infect usual get realli nasti sinus infect year levaquin antibiot work never side effect get well alway take exact prescrib per day day lot water,10.0,Positive
Basal Cell Carcinoma,day treatment forehead look terribl hope get better soon sinc imposs go public sad not possibl upload pic ugli forehead,10.0,Positive
"Constipation, Chronic",week pregnant constip bad week took ml stuff liter within minut proper bowl movement caus lot cramp tho diarrhoea also made sick atleast final bowl movement fantast stuff,10.0,Positive
Hepatitis C,wannabehepcfre other think afford drug contact drug manufactur drug program pay drug insur not treatment avail everyon go straight drug manufactur peg interferion ribovirun drug suck start new drug septemb realli nervous past drug made white blood cell count go realli low zero energi worst felt like insect skin constant fail treatment heard say itch feel bug skin ya good good luck,7.0,Neutral
Allergic Rhinitis,posit medic sever allergi tri everyth otc prescript first allow sleep without get time night nose,8.0,Positive
Birth Control,first time type contracept read mani horror stori terrifi take start day start period day ago pretti heavi flow super plus tampon everi hour even first period pill much lighter last three day skin clear lot smooth mani year take pill pm first day pill would go sleep wake hungrier usual pass alreadi gain weight breast size increas tender slight increas vagin discharg noth drastic,10.0,Positive
Obesity,start take medic first day pound nice steadi slow pound weigh feel great worth everi penni side effect dri mouth go potassium supplement get leg crap weight loss medic help abl get medic high blood pressur,10.0,Positive
High Cholesterol,work well lower lipid combin niaspan discontinu cognit disord sever muscl pain no rhabdo howev,3.0,Negative
Pain,diagnos degen lumbar vertebra medicin awesom work well use sore feet lucki bunion mani year high heel work well also work comput drive work lot realli work miracl tight sore shoulder neck area anoth poster mention feel loos use final smell pretti decent concern walk around smell like great aunti momo light semi fresh smell scent not medicin,9.0,Positive
ibromyalgia,halfway tritat pack savella clear insur hurdl yet reliev learn other experienc hot flash sweat no nausea no sleep problem either fan chang drippi cloth other comment think give littl time energi level motiv pain reduct definit better actual complet one two chore per day,6.0,Neutral
Birth Control,start use nuvar back tri mani differ birth control pill gain around pound want sleep time lost complet sex drive stop use last month start experienc sever migrain good part nuvar make feel angri bad mood time like pill tri,7.0,Neutral
"COPD, Maintenance",improv breath frist time use,8.0,Positive
Anxiety and Stress,love celexa anxieti realli start effect perform colleg start celexa mg first week miser serious depress two week adjust phase work wonder could feel tangibl differ overnight love would warn adjust phase brutal,10.0,Positive
Birth Control,daughter decid go implanon rod doctor recommend discov endometriosi read everyon comment see lot peopl complain weight gain loss depress surpris never experienc thing could realli agre cycl last long time fatigu well sinc yrs oct becom one get rod replac continu hope though time no longer need rod continu normal life rod wonder thing trade,9.0,Positive
Birth Control,mirena year love insert uncomfort not unbear readi go soon doctor done cramp hour afterward ibuprofen heat pad knock no time heavi bleed week light brownish spot week next month would brownish spot day half suppos get period breast would still get tender sinc no period no pms no period symptom gain weight put lazi oppos anyth iud husband say occasion feel sex,10.0,Positive
Osteoarthritis,second inject one first inject pain knee sore two day second inject not hurt knee fine immedi knee pain go two year final relief hope last longer month would definit advis anybodi problem least tri work,8.0,Positive
Urinary Tract Infection,terribl pain continu shoulder arm neck leg macrobid side effect cri sever pain depress pain hope not perman damag bymacrobid report gp feel doom,3.0,Negative
GERD,final got relief constant burn sensat esophagus month took day feel total fine tri prilosec esophaguard life extens prior use prescript also stop drink coffe wine stop take actonel bone year contribut heartburn also chang calcium intak calcium citrat instead carbon could absorb,9.0,Positive
"Onychomycosis, Toenail",pretti bad fungus toe nail first big toe spread rememb small toe even look like nail devast use nail polish cover big toe complet came nail bed went dermatologist prescrib warn take year anyth realli think go get nail back use everi night tri leav nail pretti short small nail clear big toe nail grew back complet month month tell even tri thank copay would paid need,10.0,Positive
Depression,take medic start suffer serious side effect excess sweat shake paranoia unabl sleep settl medic not agre bodi made feel extrem sick,2.0,Negative
Hyperhidrosis,dealt excess sweat ever sinc around year old problem start right puberti made hard extrem embarrass handl spent hundr dollar antiperspir natur treatment otc option etc final gave go doctor seek help prescrib drysol day one use sweat free final wear color get rid worn black shirt problem second night use product must use much morn skin littl sore red went away littl pain reliev cream gone within hour,10.0,Positive
Insomnia,suffer insomnia adult life like mani prescrib clonazepam mg night never increas dose year use fact doctor recommend go g often felt comfort order reduc chanc becom toler medicin work like charm mani year use wish someth els becom best insomnia tri mani thing,10.0,Positive
Depression,skeptic medicin depress diagnosi tri someth break cycl low motiv anxieti mg three day chang incred write muse back gotten fantast feedback new job hope stay way,10.0,Positive
Pain,took one mg tablet shoulder upper back pain even woke migrain type headach not like take anymor no problem darvocet took medic market,3.0,Negative
Psoriasis,psoriasi hand prescrib prednison yes clear psoriasi week side effect drug wors psoriasi horribl,10.0,Positive
Postoperative Pain,given three wisdom teeth taken say made big differ pain though know would like without definit not enough stop pain resort hydrocodon withstand pain better toradol overal not big fan toradol,5.0,Neutral
Pain,help medicin use year found great amount relief,10.0,Positive
Erectile Dysfunction,ciali work well take small dose daili pretti activ daili yippe keep slight tumesc time cool locker room good strong erect bigger dose twice week work well though get side effect even not bad,9.0,Positive
High Blood Pressure,took benicar year went leg cramp etc work well bp would get kidney infect occasion know one day year ago came pain gout new doctor took benicar right away said contribut gout flare up affect kidney angri know read kidney check regular take med diet anoth bp med well gout howev wish taken benicar long affect kidney care,6.0,Neutral
Muscle Spasm,neck surgeri replac help lot,9.0,Positive
Depression,got prescrib milligram thank god decid cut half see react took night felt effect half hour sleep well felt wierd got morn let dog almost hit floor dizzi feel relax today somewhat better told peopl even know take start work week not must sensat think tri milligram tonight see goe keep inform,6.0,Neutral
Status Epilepticus,withdraw fentanyl heroin littl bit suboxon take away symptom xanax klonopin work better ativan work great anxieti tho last hour,10.0,Positive
Weight Loss,contrav day far zero side effect start lbs weigh morn lbs not chang diet eat less not realli hungri even think sweet realli want date start week,8.0,Positive
Chronic Pain,good medic go chronic intract back pain work well nsaid keep pain toler level without frequent dose chang need breakthrough med fast act morphin good choic,9.0,Positive
Birth Control,complet first month great far doctor put regul horrend period start birth control put sister reason neither us experienc major side effect differ notic breast slight tender cycl start rather deal heavi flow cramp bedridden whole week,9.0,Positive
Lichen Sclerosus,noth prescrib dermotoligist even touch diseas prednison first thing given relief howev doctor cautious prescrib one round use discontinu condit return full forc,9.0,Positive
Weight Loss,adipex three month start lbs lbs total lbs love medic tri everyth noth realli work also found thyroid problem also lost inch total hope lbs end summer post updat later,10.0,Positive
Depression,saw doctor anxieti last year hit time high last six month would wake wonder even work suffer sever muscl tension shoulder lower back extrem irrit mood swing panic attack heart would pound run k realli lie bed day two take zoloft sing still terribl song feel gain sens normal life alway lack clear head find ration think easier depress anxieti destroy relationship begin see light end tunnel peopl speak mg day,7.0,Neutral
Birth Control,second time ortho lo say unimpress gave protect pregnanc well pill make feel crazi race anxious thought worri lot thing includ death like cri punch someon face tire face break pain breast sore bare move period heavier pain also hair thinner come clump whoever wrote happen heard go make wors go year went hair grew back thin spot went away come back alreadi feel hair thin,5.0,Neutral
Vaginal Yeast Infection,suffer yi week know hard get pharmaci hurrican sinc gyno open yet call normal remedi rout diflucan tri monistat ovul store everyth els know woke hrs later feel like fire ant sting aw warm bath tri rins stuff cold compress provid immedi relief burn back not submerg water ice say mayb treat yi mayb allerg reaction consid women appar use suffer miseri not misdiagnos treatment allergi bad product,1.0,Negative
Anxiety,suffer debilit anxieti depress year prior go drug brain would not shut would suffer sit brain made hyper awar thought feel anxieti head noisi mess relax regular stress no reason would think thing bother often relationship suffer drug made mind silent drug gave life back made better took time work week amaz thing sick like feel hopeless feel like noth make better doom drug make normal,10.0,Positive
Obesity,take saxenda week start dosag yesterday far lost lbs also work hour time week no major side effect yesterday chang dosag inject site pain today never happen yesterday overal think drug work forgot inject one day realli hungri,8.0,Positive
Pain,total knee replac week ago drug along pain killer done good job pain high recommend sever pain,9.0,Positive
Erectile Dysfunction,use take viagra occas work great even abl split mg quarter doc recommend ciali mg first took week no result gave mg said take mg time still no near firm viagra took hour start work firm would last minut could get hard lose fast goe show not med work,3.0,Negative
Emergency Contraception,took hour came insid went cvs pharmacist told not week pregnant,1.0,Negative
Bowel Preparation,first thought interest describ cherri grape open bottl love grape smell sure go fine wtf folk invent crap not tast bud realli horribl salti vomit leav tast bud cri almost immedi bloat bad luckili last long stuff work fast still second prep go went search advic best part day site feel like alon suffer call husband bring home lemon certain help chill water lemonad mix seem help never,1.0,Negative
Edema,find combin lasix potassium pill heart healthi low sodium diet feel absolut great exercis help lot abl good luck one lucki one guess first time use lasix emerg room gave huge shot left three hour later ankl feet total back normal probabl lost three four pound hour breath not labor longer thank god lasix,10.0,Positive
"Constipation, Chronic",amitiza life saver work noth els would no side effect take mcg twice daili go bathroom everi day perfect,8.0,Positive
Vaginal Yeast Infection,oh god no stranger yeast infect get sinc month old prone antibiot cream realli work teen tell mom go local cvs buy brand miconazol nitrat insert first time ever use insert put bed wake feel like vagina fire intens bad sob cannot stand still glad see mani other say subsid mother kept say need medicin not worth pain rins vagina may need definit call doctor morn not use product,1.0,Negative
